,close,open,time,date,date2,norm
63,8.27,8.05,"Jan 22, 2018",2018-01-22,01/22/18,2.5843749999999996
64,7.88,8.17,"Jan 21, 2018",2018-01-21,01/21/18,2.4625
65,8.14,5.98,"Jan 20, 2018",2018-01-20,01/20/18,2.54375
66,5.92,5.44,"Jan 19, 2018",2018-01-19,01/19/18,1.8499999999999999
67,5.5,4.83,"Jan 18, 2018",2018-01-18,01/18/18,1.71875
68,4.79,4.88,"Jan 17, 2018",2018-01-17,01/17/18,1.496875
69,4.92,6.1,"Jan 16, 2018",2018-01-16,01/16/18,1.5374999999999999
70,6.06,6.06,"Jan 15, 2018",2018-01-15,01/15/18,1.8937499999999998
71,6.06,5.89,"Jan 14, 2018",2018-01-14,01/14/18,1.8937499999999998
72,5.86,6.24,"Jan 13, 2018",2018-01-13,01/13/18,1.83125
73,6.26,6.49,"Jan 12, 2018",2018-01-12,01/12/18,1.9562499999999998
74,6.44,6.36,"Jan 11, 2018",2018-01-11,01/11/18,2.0125
75,6.34,4.61,"Jan 10, 2018",2018-01-10,01/10/18,1.98125
76,4.59,4.25,"Jan 09, 2018",2018-01-09,01/09/18,1.434375
77,4.23,4.57,"Jan 08, 2018",2018-01-08,01/08/18,1.3218750000000001
78,4.59,4.74,"Jan 07, 2018",2018-01-07,01/07/18,1.434375
79,4.74,3.67,"Jan 06, 2018",2018-01-06,01/06/18,1.48125
80,3.64,3.78,"Jan 05, 2018",2018-01-05,01/05/18,1.1375
81,3.74,3.47,"Jan 04, 2018",2018-01-04,01/04/18,1.16875
82,3.47,2.61,"Jan 03, 2018",2018-01-03,01/03/18,1.084375
83,2.61,2.43,"Jan 02, 2018",2018-01-02,01/02/18,0.8156249999999999
84,2.43,2.3,"Jan 01, 2018",2018-01-01,01/01/18,0.759375
85,2.28,2.07,"Dec 31, 2017",2017-12-31,12/31/17,0.7124999999999999
86,2.1,2.39,"Dec 30, 2017",2017-12-30,12/30/17,0.65625
87,2.39,1.88,"Dec 29, 2017",2017-12-29,12/29/17,0.746875
88,1.87,1.99,"Dec 28, 2017",2017-12-28,12/28/17,0.584375
89,1.99,1.46,"Dec 27, 2017",2017-12-27,12/27/17,0.621875
90,1.46,1.37,"Dec 26, 2017",2017-12-26,12/26/17,0.45625
91,1.37,1.31,"Dec 25, 2017",2017-12-25,12/25/17,0.42812500000000003
92,1.3,1.37,"Dec 24, 2017",2017-12-24,12/24/17,0.40625
93,1.37,1.27,"Dec 23, 2017",2017-12-23,12/23/17,0.42812500000000003
94,1.26,1.53,"Dec 22, 2017",2017-12-22,12/22/17,0.39375
95,1.53,1.51,"Dec 21, 2017",2017-12-21,12/21/17,0.47812499999999997
96,1.51,1.46,"Dec 20, 2017",2017-12-20,12/20/17,0.471875
97,1.46,1.71,"Dec 19, 2017",2017-12-19,12/19/17,0.45625
98,1.71,1.25,"Dec 18, 2017",2017-12-18,12/18/17,0.5343749999999999
99,1.25,0.937426,"Dec 17, 2017",2017-12-17,12/17/17,0.390625
100,0.921172,0.851537,"Dec 16, 2017",2017-12-16,12/16/17,0.28786625
101,0.853001,0.669613,"Dec 15, 2017",2017-12-15,12/15/17,0.26656281249999997
102,0.673752,0.550091,"Dec 14, 2017",2017-12-14,12/14/17,0.2105475
103,0.552646,0.587443,"Dec 13, 2017",2017-12-13,12/13/17,0.17270187499999998
104,0.582677,0.579233,"Dec 12, 2017",2017-12-12,12/12/17,0.1820865625
105,0.5776,0.465261,"Dec 11, 2017",2017-12-11,12/11/17,0.1805
106,0.464684,0.555543,"Dec 10, 2017",2017-12-10,12/10/17,0.14521374999999997
107,0.552503,0.56738,"Dec 09, 2017",2017-12-09,12/09/17,0.17265718749999998
108,0.565619,0.46176,"Dec 08, 2017",2017-12-08,12/08/17,0.1767559375
109,0.467044,0.577858,"Dec 07, 2017",2017-12-07,12/07/17,0.14595125
110,0.589222,0.683061,"Dec 06, 2017",2017-12-06,12/06/17,0.184131875
